Name,DisplayName,Default,,,Status,DependentServices
WEPHOSTSVC,Windows Encryption Provider Host Service,,,,Stopped,
wercplsupport,Problem Reports Control Panel Support,,,,Stopped,
WerSvc,Windows Error Reporting Service,,,,Stopped,
WFDSConMgrSvc,Wi-Fi Direct Services Connection Manager Service,,,,Stopped,
whesvc,Windows Health and Optimized Experiences,,,,Running,
WiaRpc,Still Image Acquisition Events,,,,Stopped,
WinDefend,Microsoft Defender Antivirus Service,,,,Running,
WinHttpAutoProxySvc,WinHTTP Web Proxy Auto-Discovery Service,,,,Running,WlanSvc;icssvc;Wcmsvc;NcaSvc;iphlpsvc
Winmgmt,Windows Management Instrumentation,,,,Running,VMUSBArbService;VMAuthdService
WinRM,Windows Remote Management (WS-Management),,,,Stopped,
wisvc,Windows Insider Service,,,,Stopped,
WlanSvc,WLAN AutoConfig,,,,Running,
wlidsvc,Microsoft Account Sign-in Assistant,,,,Running,
wlpasvc,Local Profile Assistant Service,,,,Stopped,McmSvc
WManSvc,Windows Management Service,,,,Stopped,
wmiApSrv,WMI Performance Adapter,,,,Stopped,
WMIRegistrationService,Intel(R) Management Engine WMI Provider Registration,,,,Running,
workfolderssvc,Work Folders,,,,Stopped,
WpcMonSvc,Parental Controls,,,,Stopped,
WPDBusEnum,Portable Device Enumerator Service,,,,Stopped,
WpnService,Windows Push Notifications System Service,,,,Running,
WpnUserService_47e64,Windows Push Notifications User Service_47e64,,,,Running,
WSAIFabricSvc,WSAIFabricSvc,,,,Running,
wscsvc,Security Center,,,,Running,
WSearch,Windows Search,,,,Running,workfolderssvc
wuauserv,Windows Update,,,,Stopped,
WwanSvc,WWAN AutoConfig,,,,Stopped,McmSvc;wlpasvc
XblAuthManager,Xbox Live Auth Manager,,,,Stopped,XblGameSave
XblGameSave,Xbox Live Game Save,,,,Stopped,
XboxGipSvc,Xbox Accessory Management Service,,,,Stopped,
XboxNetApiSvc,Xbox Live Networking Service,,,,Stopped,
ZTHELPER,ZTHELPER,,,,Stopped,
